"source_code","source_vocabulary","frequency","source_concept_class","source_name","validity","standard_code","standard_name","standard_vocabulary","mapping_resource"
"2160463","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2160489","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2160547","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2161891","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2162980","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2163657","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2163673","CNK",1,NA,NA,NA,NA,NA,NA,NA
"21640A.B","MEDIDOC",1,NA,"Enolase",NA,NA,NA,NA,NA
"2164226","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2164325","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2164341","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2164739","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2164812","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2164838","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2165348","CNK",1,NA,"Advate 500 IE inj. opl. (pdr. + oplosm.) i.v. flac._Advate 500 IU inj. opl. (pdr. + oplosm.) i.v. flac.",NA,"B02BD02",NA,"ATC(Non-Standard)",NA
"2165652","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2166650","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2167427","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2167468","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2167500","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2168607","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2170025","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2170181","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2170264","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2170371","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2171049","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2171072","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2171114","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2174621","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2176493","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2177046","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2177400","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2177442","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2179315","CNK",1,NA,"Glucose Sterop 50 mg/ml parent. oplosm. i.v. amp.",NA,"V07AB",NA,"ATC(Non-Standard)",NA
"2179489","CNK",1,NA,"Glucose Sterop 500 mg/ml inf. opl. i.v. flac.",NA,"B05BA03",NA,"ATC(Non-Standard)",NA
"2179661","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2180305","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2180412","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2180677","CNK",1,NA,"Bondronat 2 mg/2 ml inf. opl. (conc.) i.v. flac.",NA,"M05BA06",NA,"ATC(Non-Standard)",NA
"2182145","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2183960","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2185262","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2185288","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2186831","CNK",1,NA,"Cefotaxim Sandoz 1 g inj./inf. opl. (pdr.) i.m./i.v. flac.",NA,"J01DD01",NA,"ATC(Non-Standard)",NA
"2187821","CNK",1,NA,NA,NA,NA,NA,NA,NA
"219.1","ICD10",1,NA,NA,NA,NA,NA,NA,NA
"219.9","ICD10",1,NA,NA,NA,NA,NA,NA,NA
"2190171","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2191153","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2192540","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2195477","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2195758","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2195840","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2195857","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2195865","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2195923","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2195998","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2196293","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2196657","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2198117","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2200426","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2202414","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2204139","CNK",1,NA,"VoriNa 500 mg/ 20 ml inj. opl. i.v./i.m. flac.",NA,"V03AF06",NA,"ATC(Non-Standard)",NA
"2205128","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2205458","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2207298","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2213122","CNK",1,NA,"Invirase 500 mg filmomh. tabl.",NA,"J05AE01",NA,"ATC(Non-Standard)",NA
"2215051","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2215200","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2215218","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2216513","CNK",1,NA,"Ceftriaxone Mylan 2 g inf. opl. (pdr.) i.v. flac.",NA,"J01DD04",NA,"ATC(Non-Standard)",NA
"2219608","CNK",1,NA,"Zavesca 100 mg harde caps.",NA,"A16AX06",NA,"ATC(Non-Standard)",NA
"2219822","CNK",1,NA,NA,NA,NA,NA,NA,NA
"222.1","ICD10",1,NA,NA,NA,NA,NA,NA,NA
"2220457","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2221018","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2221877","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2222818","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2223741","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2224871","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2224889","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2224954","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2225548","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2225712","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2225878","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2226488","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2226496","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2228153","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2228369","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2228377","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2228401","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2230878","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2231199","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2231355","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2231447","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2232098","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2235257","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2235273","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2235646","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2236180","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2239760","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2240596","CNK",1,NA,NA,NA,NA,NA,NA,NA
"2241990","CNK",1,NA,"Diovane 40 mg filmomh. tabl.",NA,"C09CA03",NA,"ATC(Non-Standard)",NA
"2242634","CNK",1,NA,"Gonal-f 300 IE/0.5 ml inj. opl. s.c. voorgev. pen",NA,"G03GA05",NA,"ATC(Non-Standard)",NA
